	Initial generation
Global best:  	Position: (-1.2790, -2.2955) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -35.755035 
Particle 7 	Position: (-1.4652, -2.2688) 	 | Velocity :(-2.8965, 0.4163) 	 | Fitness: -36.720580
Particle 8 	Position: (-1.3259, -1.9418) 	 | Velocity :(0.7354, -5.5450) 	 | Fitness: -42.025054
Particle 9 	Position: (-1.3103, -0.7361) 	 | Velocity :(0.0517, -2.5750) 	 | Fitness: -38.682244
Particle 10 	Position: (-0.9005, -0.3140) 	 | Velocity :(-1.4822, -2.6247) 	 | Fitness: -26.404156
Particle 11 	Position: (-1.5225, -1.3559) 	 | Velocity :(0.9600, -3.7048) 	 | Fitness: -45.239224
Particle 12 	Position: (-1.4068, -1.8022) 	 | Velocity :(-0.1278, 0.4933) 	 | Fitness: -43.771326
Particle 13 	Position: (-1.3505, -1.2283) 	 | Velocity :(-5.1803, -4.5846) 	 | Fitness: -44.611247
Particle 14 	Position: (-1.4104, -1.7069) 	 | Velocity :(-0.6101, -1.7499) 	 | Fitness: -44.545013
Particle 15 	Position: (-1.3172, -2.2113) 	 | Velocity :(-0.2324, -1.8603) 	 | Fitness: -37.619799
Particle 16 	Position: (-1.5033, -1.5213) 	 | Velocity :(1.5505, -4.1133) 	 | Fitness: -45.338075
Particle 17 	Position: (-1.1855, -0.8678) 	 | Velocity :(-0.1824, -2.7855) 	 | Fitness: -40.081683
Particle 18 	Position: (-1.2522, -2.2789) 	 | Velocity :(-5.5234, -3.4142) 	 | Fitness: -35.969739
Particle 19 	Position: (-0.6911, -1.8902) 	 | Velocity :(-4.6697, -3.2197) 	 | Fitness: -35.620255


	Generation:  3
Particle 0 	Position: (-1.0749, -2.7597) 	 | Velocity :(1.0562, -3.4205) 	 | Fitness: -22.533134
Particle 1 	Position: (-3.8622, -1.2482) 	 | Velocity :(-1.5871, 0.6217) 	 | Fitness: 9.260245
Particle 2 	Position: (-0.0854, -0.2552) 	 | Velocity :(-1.4505, -0.7976) 	 | Fitness: -8.371594
Particle 3 	Position: (-1.5940, -5.0000) 	 | Velocity :(-0.0803, -2.7597) 	 | Fitness: 26.520763
Particle 4 	Position: (0.7971, -2.2531) 	 | Velocity :(-1.3544, 0.5864) 	 | Fitness: 4.193057
Particle 5 	Position: (0.3549, -5.0000) 	 | Velocity :(-0.3817, -1.5081) 	 | Fitness: 57.785467
Particle 6 	Position: (-5.0000, 0.1495) 	 | Velocity :(-3.6549, 1.5599) 	 | Fitness: 52.719569
Particle 7 	Position: (-4.4407, -1.1853) 	 | Velocity :(-0.6317, 0.3269) 	 | Fitness: 22.042421
Particle 8 	Position: (-1.3055, -3.4289) 	 | Velocity :(-0.5238, 1.5711) 	 | Fitness: -3.580894
Particle 9 	Position: (-1.5325, -2.7721) 	 | Velocity :(-0.0994, 0.5035) 	 | Fitness: -23.978390
Particle 10 	Position: (-2.4542, -3.1068) 	 | Velocity :(-1.5537, -2.7928) 	 | Fitness: -1.055856
Particle 11 	Position: (-1.0339, -3.1872) 	 | Velocity :(-0.2794, 1.1326) 	 | Fitness: -9.116792
Particle 12 	Position: (-1.5620, -1.1338) 	 | Velocity :(-0.1551, 0.6684) 	 | Fitness: -43.924274
Particle 13 	Position: (-5.0000, -4.9444) 	 | Velocity :(-4.1794, -3.7161) 	 | Fitness: 97.750356
Particle 14 	Position: (-1.9269, -2.9898) 	 | Velocity :(-0.5165, -1.2829) 	 | Fitness: -14.559518
Particle 15 	Position: (-1.6805, -2.8401) 	 | Velocity :(-0.3633, -0.6288) 	 | Fitness: -21.382604
Particle 16 	Position: (-0.2533, -4.7606) 	 | Velocity :(1.2500, -3.2393) 	 | Fitness: 41.433696
Particle 17 	Position: (-1.6789, -4.2244) 	 | Velocity :(-0.1934, -0.9050) 	 | Fitness: 17.891369
Particle 18 	Position: (-5.0000, -3.7839) 	 | Velocity :(-0.4486, 0.3856) 	 | Fitness: 78.267856
Particle 19 	Position: (-5.0000, -5.0000) 	 | Velocity :(-2.1859, -1.2102) 	 | Fitness: 97.946214


Global best:  	Position: (-1.4825, -1.4104) 	 | Velocity :(-4.5687, 1.9499) 	 | Fitness: -45.394620 

Particles best: 

Particle 0 	Position: (-1.0749, -2.7597) 	 | Velocity :(1.0562, -3.4205) 	 | Fitness: -22.533134
Particle 1 	Position: (-2.2751, -1.8699) 	 | Velocity :(-2.2859, 0.6020) 	 | Fitness: -34.268436
Particle 2 	Position: (-1.1629, -2.2123) 	 | Velocity :(3.5397, 2.5389) 	 | Fitness: -36.733309
Particle 3 	Position: (-1.4006, 4.6327) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -26.136085
Particle 4 	Position: (0.7971, -2.2531) 	 | Velocity :(-1.3544, 0.5864) 	 | Fitness: 4.193057
Particle 5 	Position: (-0.9548, -3.1977) 	 | Velocity :(2.4628, -6.8523) 	 | Fitness: -7.865155
Particle 6 	Position: (-1.4825, -1.4104) 	 | Velocity :(-4.5687, 1.9499) 	 | Fitness: -45.394620
Particle 7 	Position: (-1.4652, -2.2688) 	 | Velocity :(-2.8965, 0.4163) 	 | Fitness: -36.720580
Particle 8 	Position: (-1.3259, -1.9418) 	 | Velocity :(0.7354, -5.5450) 	 | Fitness: -42.025054
Particle 9 	Position: (-1.3103, -0.7361) 	 | Velocity :(0.0517, -2.5750) 	 | Fitness: -38.682244
Particle 10 	Position: (-0.9005, -0.3140) 	 | Velocity :(-1.4822, -2.6247) 	 | Fitness: -26.404156
Particle 11 	Position: (-1.5225, -1.3559) 	 | Velocity :(0.9600, -3.7048) 	 | Fitness: -45.239224
Particle 12 	Position: (-1.5620, -1.1338) 	 | Velocity :(-0.1551, 0.6684) 	 | Fitness: -43.924274
Particle 13 	Position: (-1.3505, -1.2283) 	 | Velocity :(-5.1803, -4.5846) 	 | Fitness: -44.611247
Particle 14 	Position: (-1.4104, -1.7069) 	 | Velocity :(-0.6101, -1.7499) 	 | Fitness: -44.545013
Particle 15 	Position: (-1.3172, -2.2113) 	 | Velocity :(-0.2324, -1.8603) 	 | Fitness: -37.619799
Particle 16 	Position: (-1.5033, -1.5213) 	 | Velocity :(1.5505, -4.1133) 	 | Fitness: -45.338075
Particle 17 	Position: (-1.1855, -0.8678) 	 | Velocity :(-0.1824, -2.7855) 	 | Fitness: -40.081683
Particle 18 	Position: (-1.2522, -2.2789) 	 | Velocity :(-5.5234, -3.4142) 	 | Fitness: -35.969739
Particle 19 	Position: (-0.6911, -1.8902) 	 | Velocity :(-4.6697, -3.2197) 	 | Fitness: -35.620255


	Generation:  4
Particle 0 	Position: (-0.5283, -4.5086) 	 | Velocity :(0.5466, -1.7488) 	 | Fitness: 32.487492
Particle 1 	Position: (-2.9397, -0.9627) 	 | Velocity :(0.9225, 0.2855) 	 | Fitness: -15.962087
Particle 2 	Position: (-1.9316, -2.0780) 	 | Velocity :(-1.8462, -1.8228) 	 | Fitness: -37.193790
Particle 3 	Position: (-1.4841, 0.7329) 	 | Velocity :(0.1099, 5.7329) 	 | Fitness: -5.439986
Particle 4 	Position: (-0.3812, -1.7489) 	 | Velocity :(-1.1783, 0.5042) 	 | Fitness: -30.700378
Particle 5 	Position: (-0.9093, -4.3556) 	 | Velocity :(-1.2642, 0.6444) 	 | Fitness: 23.496166
Particle 6 	Position: (-5.0000, 0.4540) 	 | Velocity :(-0.7964, 0.3044) 	 | Fitness: 60.142317
Particle 7 	Position: (-0.0951, -1.7371) 	 | Velocity :(4.3456, -0.5518) 	 | Fitness: -24.003048
Particle 8 	Position: (-1.7394, -1.5615) 	 | Velocity :(-0.4339, 1.8674) 	 | Fitness: -44.181038
Particle 9 	Position: (-1.5012, -0.9930) 	 | Velocity :(0.0312, 1.7790) 	 | Fitness: -42.641619
Particle 10 	Position: (-1.9674, -2.2916) 	 | Velocity :(0.4868, 0.8152) 	 | Fitness: -32.718062
Particle 11 	Position: (-1.6301, -0.8725) 	 | Velocity :(-0.5962, 2.3146) 	 | Fitness: -40.686526
Particle 12 	Position: (-1.6634, -0.6781) 	 | Velocity :(-0.1014, 0.4556) 	 | Fitness: -37.349900
Particle 13 	Position: (-5.0000, -5.0000) 	 | Velocity :(-1.4650, -1.0771) 	 | Fitness: 97.946214
Particle 14 	Position: (-1.9474, -2.6217) 	 | Velocity :(-0.0205, 0.3681) 	 | Fitness: -25.002234
Particle 15 	Position: (-1.8192, -2.3035) 	 | Velocity :(-0.1387, 0.5366) 	 | Fitness: -34.201066
Particle 16 	Position: (-0.6234, -3.6771) 	 | Velocity :(-0.3702, 1.0835) 	 | Fitness: 12.071089
Particle 17 	Position: (-1.5121, -2.7107) 	 | Velocity :(0.1668, 1.5136) 	 | Fitness: -25.763567
Particle 18 	Position: (-3.3139, -2.2385) 	 | Velocity :(1.6861, 1.5454) 	 | Fitness: 0.648872
Particle 19 	Position: (-3.3416, -2.7375) 	 | Velocity :(1.6584, 2.2625) 	 | Fitness: 13.797049


Global best:  	Position: (-1.4825, -1.4104) 	 | Velocity :(-4.5687, 1.9499) 	 | Fitness: -45.394620 

Particles best: 

Particle 0 	Position: (-1.0749, -2.7597) 	 | Velocity :(1.0562, -3.4205) 	 | Fitness: -22.533134
Particle 1 	Position: (-2.2751, -1.8699) 	 | Velocity :(-2.2859, 0.6020) 	 | Fitness: -34.268436
Particle 2 	Position: (-1.9316, -2.0780) 	 | Velocity :(-1.8462, -1.8228) 	 | Fitness: -37.193790
Particle 3 	Position: (-1.4006, 4.6327) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -26.136085
Particle 4 	Position: (-0.3812, -1.7489) 	 | Velocity :(-1.1783, 0.5042) 	 | Fitness: -30.700378
Particle 5 	Position: (-0.9548, -3.1977) 	 | Velocity :(2.4628, -6.8523) 	 | Fitness: -7.865155
Particle 6 	Position: (-1.4825, -1.4104) 	 | Velocity :(-4.5687, 1.9499) 	 | Fitness: -45.394620
Particle 7 	Position: (-1.4652, -2.2688) 	 | Velocity :(-2.8965, 0.4163) 	 | Fitness: -36.720580
Particle 8 	Position: (-1.7394, -1.5615) 	 | Velocity :(-0.4339, 1.8674) 	 | Fitness: -44.181038
Particle 9 	Position: (-1.5012, -0.9930) 	 | Velocity :(0.0312, 1.7790) 	 | Fitness: -42.641619
Particle 10 	Position: (-1.9674, -2.2916) 	 | Velocity :(0.4868, 0.8152) 	 | Fitness: -32.718062
Particle 11 	Position: (-1.5225, -1.3559) 	 | Velocity :(0.9600, -3.7048) 	 | Fitness: -45.239224
Particle 12 	Position: (-1.5620, -1.1338) 	 | Velocity :(-0.1551, 0.6684) 	 | Fitness: -43.924274
Particle 13 	Position: (-1.3505, -1.2283) 	 | Velocity :(-5.1803, -4.5846) 	 | Fitness: -44.611247
Particle 14 	Position: (-1.4104, -1.7069) 	 | Velocity :(-0.6101, -1.7499) 	 | Fitness: -44.545013
Particle 15 	Position: (-1.3172, -2.2113) 	 | Velocity :(-0.2324, -1.8603) 	 | Fitness: -37.619799
Particle 16 	Position: (-1.5033, -1.5213) 	 | Velocity :(1.5505, -4.1133) 	 | Fitness: -45.338075
Particle 17 	Position: (-1.1855, -0.8678) 	 | Velocity :(-0.1824, -2.7855) 	 | Fitness: -40.081683
Particle 18 	Position: (-1.2522, -2.2789) 	 | Velocity :(-5.5234, -3.4142) 	 | Fitness: -35.969739
Particle 19 	Position: (-0.6911, -1.8902) 	 | Velocity :(-4.6697, -3.2197) 	 | Fitness: -35.620255


	Generation:  5
Particle 0 	Position: (-0.9829, -3.0164) 	 | Velocity :(-0.4547, 1.4922) 	 | Fitness: -13.859997
Particle 1 	Position: (-1.4153, -1.3500) 	 | Velocity :(1.5244, -0.3873) 	 | Fitness: -45.265762
Particle 2 	Position: (-3.0668, -3.0281) 	 | Velocity :(-1.1352, -0.9501) 	 | Fitness: 13.874124
Particle 3 	Position: (-1.3814, 3.9956) 	 | Velocity :(0.1027, 3.2627) 	 | Fitness: -25.527748
Particle 4 	Position: (-1.6445, -1.2470) 	 | Velocity :(-1.2633, 0.5019) 	 | Fitness: -44.373470
Particle 5 	Position: (-2.5037, -0.3823) 	 | Velocity :(-1.5944, 3.9733) 	 | Fitness: -17.799520
Particle 6 	Position: (-1.1998, -1.6544) 	 | Velocity :(3.8002, -2.1083) 	 | Fitness: -44.035208
Particle 7 	Position: (1.1647, -2.2457) 	 | Velocity :(1.2599, -0.5086) 	 | Fitness: 9.847842
Particle 8 	Position: (-1.8957, 0.0447) 	 | Velocity :(-0.1563, 1.6061) 	 | Fitness: -18.979654
Particle 9 	Position: (-1.4685, 0.2585) 	 | Velocity :(0.0327, 1.2516) 	 | Fitness: -16.254130
Particle 10 	Position: (-1.1960, -0.9453) 	 | Velocity :(0.7714, 1.3463) 	 | Fitness: -41.207918
Particle 11 	Position: (-2.0715, 0.8211) 	 | Velocity :(-0.4414, 1.6936) 	 | Fitness: 1.332090
Particle 12 	Position: (-1.5783, -1.0094) 	 | Velocity :(0.0851, -0.3313) 	 | Fitness: -42.652350
